match_id,stage,kickoff_utc,kickoff_local,timezone,venue,city,country,home,away,us_english_tv,us_spanish_tv,sequence
1,Group A,2026-06-11T19:00:00+00:00,2026-06-11T13:00:00-06:00,America/Mexico_City,Mexico City,Mexico City,Mexico,Mexico,South Africa,,,1
2,Group A,2026-06-12T02:00:00+00:00,2026-06-11T20:00:00-06:00,America/Mexico_City,Guadalajara (Zapopan),Guadalajara,Mexico,South Korea,Czech Republic,,,1
3,Group A,2026-06-18T16:00:00+00:00,2026-06-18T12:00:00-04:00,America/New_York,Atlanta,Atlanta,USA,Czech Republic,South Africa,,,2
4,Group A,2026-06-19T01:00:00+00:00,2026-06-18T19:00:00-06:00,America/Mexico_City,Guadalajara (Zapopan),Guadalajara,Mexico,Mexico,South Korea,,,2
5,Group A,2026-06-25T01:00:00+00:00,2026-06-24T19:00:00-06:00,America/Mexico_City,Mexico City,Mexico City,Mexico,Czech Republic,Mexico,,,2
6,Group A,2026-06-25T01:00:00+00:00,2026-06-24T19:00:00-06:00,America/Monterrey,Monterrey (Guadalupe),Monterrey,Mexico,South Africa,South Korea,,,3
7,Group B,2026-06-12T19:00:00+00:00,2026-06-12T15:00:00-04:00,America/Toronto,Toronto,Toronto,Canada,Canada,Bosnia & Herzegovina,,,1
8,Group B,2026-06-13T19:00:00+00:00,2026-06-13T12:00:00-07:00,America/Los_Angeles,San Francisco Bay Area (Santa Clara),San Francisco,USA,Qatar,Switzerland,,,1
9,Group B,2026-06-18T19:00:00+00:00,2026-06-18T12:00:00-07:00,America/Los_Angeles,Los Angeles (Inglewood),Los Angeles,USA,Switzerland,Bosnia & Herzegovina,,,2
10,Group B,2026-06-18T22:00:00+00:00,2026-06-18T15:00:00-07:00,America/Vancouver,Vancouver,Vancouver,Canada,Canada,Qatar,,,2
11,Group B,2026-06-24T19:00:00+00:00,2026-06-24T12:00:00-07:00,America/Vancouver,Vancouver,Vancouver,Canada,Switzerland,Canada,,,2
12,Group B,2026-06-24T19:00:00+00:00,2026-06-24T12:00:00-07:00,America/Los_Angeles,Seattle,Seattle,USA,Bosnia & Herzegovina,Qatar,,,3
13,Group C,2026-06-13T22:00:00+00:00,2026-06-13T18:00:00-04:00,America/New_York,New York/New Jersey (East Rutherford),New York,USA,Brazil,Morocco,,,2
14,Group C,2026-06-14T01:00:00+00:00,2026-06-13T21:00:00-04:00,America/New_York,Boston (Foxborough),Boston,USA,Haiti,Scotland,,,2
15,Group C,2026-06-19T22:00:00+00:00,2026-06-19T18:00:00-04:00,America/New_York,Boston (Foxborough),Boston,USA,Scotland,Morocco,,,2
16,Group C,2026-06-20T00:30:00+00:00,2026-06-19T20:30:00-04:00,America/New_York,Philadelphia,Philadelphia,USA,Brazil,Haiti,,,2
17,Group C,2026-06-24T22:00:00+00:00,2026-06-24T18:00:00-04:00,America/New_York,Miami (Miami Gardens),Miami,USA,Scotland,Brazil,,,2
18,Group C,2026-06-24T22:00:00+00:00,2026-06-24T18:00:00-04:00,America/New_York,Atlanta,Atlanta,USA,Morocco,Haiti,,,3
19,Group D,2026-06-13T01:00:00+00:00,2026-06-12T18:00:00-07:00,America/Los_Angeles,Los Angeles (Inglewood),Los Angeles,USA,USA,Paraguay,,,1
20,Group D,2026-06-14T04:00:00+00:00,2026-06-13T21:00:00-07:00,America/Vancouver,Vancouver,Vancouver,Canada,Australia,Turkey,,,1
21,Group D,2026-06-19T19:00:00+00:00,2026-06-19T12:00:00-07:00,America/Los_Angeles,Seattle,Seattle,USA,USA,Australia,,,2
22,Group D,2026-06-20T03:00:00+00:00,2026-06-19T20:00:00-07:00,America/Los_Angeles,San Francisco Bay Area (Santa Clara),San Francisco,USA,Turkey,Paraguay,,,2
23,Group D,2026-06-26T02:00:00+00:00,2026-06-25T19:00:00-07:00,America/Los_Angeles,Los Angeles (Inglewood),Los Angeles,USA,Turkey,USA,,,2
24,Group D,2026-06-26T02:00:00+00:00,2026-06-25T19:00:00-07:00,America/Los_Angeles,San Francisco Bay Area (Santa Clara),San Francisco,USA,Paraguay,Australia,,,3
25,Group E,2026-06-14T17:00:00+00:00,2026-06-14T12:00:00-05:00,America/Chicago,Houston,Houston,USA,Germany,Curaçao,,,1
26,Group E,2026-06-14T23:00:00+00:00,2026-06-14T19:00:00-04:00,America/New_York,Philadelphia,Philadelphia,USA,Ivory Coast,Ecuador,,,1
27,Group E,2026-06-20T20:00:00+00:00,2026-06-20T16:00:00-04:00,America/Toronto,Toronto,Toronto,Canada,Germany,Ivory Coast,,,2
28,Group E,2026-06-21T00:00:00+00:00,2026-06-20T19:00:00-05:00,America/Chicago,Kansas City,Kansas City,USA,Ecuador,Curaçao,,,2
29,Group E,2026-06-25T20:00:00+00:00,2026-06-25T16:00:00-04:00,America/New_York,Philadelphia,Philadelphia,USA,Curaçao,Ivory Coast,,,3
30,Group E,2026-06-25T20:00:00+00:00,2026-06-25T16:00:00-04:00,America/New_York,New York/New Jersey (East Rutherford),New York,USA,Ecuador,Germany,,,2
31,Group F,2026-06-14T20:00:00+00:00,2026-06-14T15:00:00-05:00,America/Chicago,Dallas (Arlington),Dallas,USA,Netherlands,Japan,,,1
32,Group F,2026-06-15T02:00:00+00:00,2026-06-14T20:00:00-06:00,America/Monterrey,Monterrey (Guadalupe),Monterrey,Mexico,Sweden,Tunisia,,,1
33,Group F,2026-06-20T17:00:00+00:00,2026-06-20T12:00:00-05:00,America/Chicago,Houston,Houston,USA,Netherlands,Sweden,,,2
34,Group F,2026-06-21T04:00:00+00:00,2026-06-20T22:00:00-06:00,America/Monterrey,Monterrey (Guadalupe),Monterrey,Mexico,Tunisia,Japan,,,2
35,Group F,2026-06-25T23:00:00+00:00,2026-06-25T18:00:00-05:00,America/Chicago,Dallas (Arlington),Dallas,USA,Japan,Sweden,,,4
36,Group F,2026-06-25T23:00:00+00:00,2026-06-25T18:00:00-05:00,America/Chicago,Kansas City,Kansas City,USA,Tunisia,Netherlands,,,3
37,Group G,2026-06-15T19:00:00+00:00,2026-06-15T12:00:00-07:00,America/Los_Angeles,Seattle,Seattle,USA,Belgium,Egypt,,,1
38,Group G,2026-06-16T01:00:00+00:00,2026-06-15T18:00:00-07:00,America/Los_Angeles,Los Angeles (Inglewood),Los Angeles,USA,Iran,New Zealand,,,1
39,Group G,2026-06-21T19:00:00+00:00,2026-06-21T12:00:00-07:00,America/Los_Angeles,Los Angeles (Inglewood),Los Angeles,USA,Belgium,Iran,,,2
40,Group G,2026-06-22T01:00:00+00:00,2026-06-21T18:00:00-07:00,America/Vancouver,Vancouver,Vancouver,Canada,New Zealand,Egypt,,,2
41,Group G,2026-06-27T03:00:00+00:00,2026-06-26T20:00:00-07:00,America/Los_Angeles,Seattle,Seattle,USA,Egypt,Iran,,,2
42,Group G,2026-06-27T03:00:00+00:00,2026-06-26T20:00:00-07:00,America/Vancouver,Vancouver,Vancouver,Canada,New Zealand,Belgium,,,3
43,Group H,2026-06-15T16:00:00+00:00,2026-06-15T12:00:00-04:00,America/New_York,Atlanta,Atlanta,USA,Spain,Cape Verde,,,1
44,Group H,2026-06-15T22:00:00+00:00,2026-06-15T18:00:00-04:00,America/New_York,Miami (Miami Gardens),Miami,USA,Saudi Arabia,Uruguay,,,1
45,Group H,2026-06-21T16:00:00+00:00,2026-06-21T12:00:00-04:00,America/New_York,Atlanta,Atlanta,USA,Spain,Saudi Arabia,,,2
46,Group H,2026-06-21T22:00:00+00:00,2026-06-21T18:00:00-04:00,America/New_York,Miami (Miami Gardens),Miami,USA,Uruguay,Cape Verde,,,2
47,Group H,2026-06-27T00:00:00+00:00,2026-06-26T19:00:00-05:00,America/Chicago,Houston,Houston,USA,Cape Verde,Saudi Arabia,,,3
48,Group H,2026-06-27T00:00:00+00:00,2026-06-26T18:00:00-06:00,America/Mexico_City,Guadalajara (Zapopan),Guadalajara,Mexico,Uruguay,Spain,,,2
49,Group I,2026-06-16T19:00:00+00:00,2026-06-16T15:00:00-04:00,America/New_York,New York/New Jersey (East Rutherford),New York,USA,France,Senegal,,,1
50,Group I,2026-06-16T22:00:00+00:00,2026-06-16T18:00:00-04:00,America/New_York,Boston (Foxborough),Boston,USA,Iraq,Norway,,,1
51,Group I,2026-06-22T21:00:00+00:00,2026-06-22T17:00:00-04:00,America/New_York,Philadelphia,Philadelphia,USA,France,Iraq,,,2
52,Group I,2026-06-23T00:00:00+00:00,2026-06-22T20:00:00-04:00,America/New_York,New York/New Jersey (East Rutherford),New York,USA,Norway,Senegal,,,4
53,Group I,2026-06-26T19:00:00+00:00,2026-06-26T15:00:00-04:00,America/New_York,Boston (Foxborough),Boston,USA,Norway,France,,,2
54,Group I,2026-06-26T19:00:00+00:00,2026-06-26T15:00:00-04:00,America/Toronto,Toronto,Toronto,Canada,Senegal,Iraq,,,3
55,Group J,2026-06-17T01:00:00+00:00,2026-06-16T20:00:00-05:00,America/Chicago,Kansas City,Kansas City,USA,Argentina,Algeria,,,1
56,Group J,2026-06-17T04:00:00+00:00,2026-06-16T21:00:00-07:00,America/Los_Angeles,San Francisco Bay Area (Santa Clara),San Francisco,USA,Austria,Jordan,,,2
57,Group J,2026-06-22T17:00:00+00:00,2026-06-22T12:00:00-05:00,America/Chicago,Dallas (Arlington),Dallas,USA,Argentina,Austria,,,2
58,Group J,2026-06-23T03:00:00+00:00,2026-06-22T20:00:00-07:00,America/Los_Angeles,San Francisco Bay Area (Santa Clara),San Francisco,USA,Jordan,Algeria,,,2
59,Group J,2026-06-28T02:00:00+00:00,2026-06-27T21:00:00-05:00,America/Chicago,Kansas City,Kansas City,USA,Algeria,Austria,,,3
60,Group J,2026-06-28T02:00:00+00:00,2026-06-27T21:00:00-05:00,America/Chicago,Dallas (Arlington),Dallas,USA,Jordan,Argentina,,,2
61,Group K,2026-06-17T17:00:00+00:00,2026-06-17T12:00:00-05:00,America/Chicago,Houston,Houston,USA,Portugal,DR Congo,,,1
62,Group K,2026-06-18T02:00:00+00:00,2026-06-17T20:00:00-06:00,America/Mexico_City,Mexico City,Mexico City,Mexico,Uzbekistan,Colombia,,,2
63,Group K,2026-06-23T17:00:00+00:00,2026-06-23T12:00:00-05:00,America/Chicago,Houston,Houston,USA,Portugal,Uzbekistan,,,2
64,Group K,2026-06-24T02:00:00+00:00,2026-06-23T20:00:00-06:00,America/Mexico_City,Guadalajara (Zapopan),Guadalajara,Mexico,Colombia,DR Congo,,,2
65,Group K,2026-06-27T23:30:00+00:00,2026-06-27T19:30:00-04:00,America/New_York,Miami (Miami Gardens),Miami,USA,Colombia,Portugal,,,2
66,Group K,2026-06-27T23:30:00+00:00,2026-06-27T19:30:00-04:00,America/New_York,Atlanta,Atlanta,USA,DR Congo,Uzbekistan,,,3
67,Group L,2026-06-17T20:00:00+00:00,2026-06-17T15:00:00-05:00,America/Chicago,Dallas (Arlington),Dallas,USA,England,Croatia,,,1
68,Group L,2026-06-17T23:00:00+00:00,2026-06-17T19:00:00-04:00,America/Toronto,Toronto,Toronto,Canada,Ghana,Panama,,,2
69,Group L,2026-06-23T20:00:00+00:00,2026-06-23T16:00:00-04:00,America/New_York,Boston (Foxborough),Boston,USA,England,Ghana,,,2
70,Group L,2026-06-23T23:00:00+00:00,2026-06-23T19:00:00-04:00,America/Toronto,Toronto,Toronto,Canada,Panama,Croatia,,,2
71,Group L,2026-06-27T21:00:00+00:00,2026-06-27T17:00:00-04:00,America/New_York,New York/New Jersey (East Rutherford),New York,USA,Panama,England,,,2
72,Group L,2026-06-27T21:00:00+00:00,2026-06-27T17:00:00-04:00,America/New_York,Philadelphia,Philadelphia,USA,Croatia,Ghana,,,3
73,Round of 32,2026-06-28T19:00:00+00:00,2026-06-28T12:00:00-07:00,America/Los_Angeles,Los Angeles (Inglewood),Los Angeles,USA,Runner-up Group A,Runner-up Group B,,,4
74,Round of 32,2026-06-29T20:30:00+00:00,2026-06-29T16:30:00-04:00,America/New_York,Boston (Foxborough),Boston,USA,Winner Group E,3rd place Group A/B/C/D/F,,,4
75,Round of 32,2026-06-30T01:00:00+00:00,2026-06-29T19:00:00-06:00,America/Monterrey,Monterrey (Guadalupe),Monterrey,Mexico,Winner Group F,Runner-up Group C,,,4
76,Round of 32,2026-06-29T17:00:00+00:00,2026-06-29T12:00:00-05:00,America/Chicago,Houston,Houston,USA,Winner Group C,Runner-up Group F,,,4
77,Round of 32,2026-06-30T21:00:00+00:00,2026-06-30T17:00:00-04:00,America/New_York,New York/New Jersey (East Rutherford),New York,USA,Winner Group I,3rd place Group C/D/F/G/H,,,4
78,Round of 32,2026-06-30T17:00:00+00:00,2026-06-30T12:00:00-05:00,America/Chicago,Dallas (Arlington),Dallas,USA,Runner-up Group E,Runner-up Group I,,,4
79,Round of 32,2026-07-01T01:00:00+00:00,2026-06-30T19:00:00-06:00,America/Mexico_City,Mexico City,Mexico City,Mexico,Winner Group A,3rd place Group C/E/F/H/I,,,4
